,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
0,1,Gummidipundi,Chennai Metro,GEN,DMK,56.94,22.94,TVK,40.56,12.02,232522,16,True,-16.38,-10.92
1,2,Ponneri,Chennai Metro,SC,INC,44.94,4.61,TVK,48.69,24.59,226819,14,True,3.75,19.98
2,3,Tiruttani,Chennai Metro,GEN,DMK,51.72,12.58,AIADMK,37.34,2.43,238798,14,True,-14.38,-10.15
3,4,Thiruvallur,Chennai Metro,GEN,DMK,50.27,10.6,TVK,40.71,10.94,226428,15,True,-9.56,0.34
4,5,Poonamallee,Chennai Metro,SC,DMK,56.72,35.68,TVK,52.22,23.55,308894,12,True,-4.5,-12.13
5,6,Avadi,Chennai Metro,GEN,DMK,49.94,18.37,TVK,52.13,22.05,346005,21,True,2.19,3.68
6,7,Maduravoyal,Chennai Metro,GEN,DMK,44.29,11.58,TVK,48.26,20.94,293692,22,True,3.97,9.36
7,8,Ambattur,Chennai Metro,GEN,DMK,47.67,17.54,TVK,51.29,22.61,259986,24,True,3.62,5.07
8,9,Madavaram,Chennai Metro,GEN,DMK,50.04,18.85,TVK,52.61,26.24,361998,16,True,2.57,7.39
9,10,Thiruvottiyur,Chennai Metro,GEN,DMK,44.09,18.83,TVK,53.15,25.87,207088,16,True,9.06,7.04
10,11,Dr. Radhakrishnan Nagar,Chennai Metro,GEN,DMK,51.2,22.71,TVK,53.97,27.41,181206,39,True,2.77,4.7
11,12,Perambur,Chennai Metro,GEN,DMK,52.53,27.43,TVK,58.89,26.28,204384,48,True,6.36,-1.15
12,13,Kolathur,Chennai Metro,GEN,DMK,60.86,40.59,TVK,45.09,4.78,184051,36,True,-15.77,-35.81
13,14,Villivakkam,Chennai Metro,GEN,DMK,52.83,25.84,TVK,46.97,12.23,141452,29,True,-5.86,-13.61
14,15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,DMK,61.13,41.15,TVK,48.04,15.52,143903,24,True,-13.09,-25.63
15,16,Egmore,Chennai Metro,SC,DMK,57.71,32.5,TVK,45.02,9.02,119738,19,True,-12.69,-23.48
16,17,Royapuram,Chennai Metro,GEN,DMK,53.16,22.92,TVK,46.4,11.19,127356,29,True,-6.76,-11.73
17,18,Harbour,Chennai Metro,GEN,DMK,58.35,26.83,DMK,45.43,11.79,99622,24,False,-12.92,-15.04
18,19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,DMK,67.89,50.47,DMK,44.76,5.07,140741,27,False,-23.13,-45.4
19,20,Thousand Lights,Chennai Metro,GEN,DMK,52.87,23.88,TVK,44.73,11.49,131824,19,True,-8.14,-12.39
20,21,Anna Nagar,Chennai Metro,GEN,DMK,48.49,16.62,TVK,43.7,13.08,163339,25,True,-4.79,-3.54
21,22,Virugampakkam,Chennai Metro,GEN,DMK,43.97,10.86,TVK,44.03,15.67,172831,25,True,0.06,4.81
22,23,Saidapet,Chennai Metro,GEN,DMK,50.02,18.34,TVK,50.63,17.78,160401,16,True,0.61,-0.56
23,24,Theayagaraya Nagar,Chennai Metro,GEN,DMK,40.57,0.1,TVK,38.55,9.73,133928,27,True,-2.02,9.63
