,region,winner_party,seats_2021,seats_2026,delta
0,Central,AIADMK,15,15,0
28,Central,TVK,0,12,12
1,Central,DMK,21,8,-13
3,Central,PMK,3,3,0
4,Central,VCK,1,2,1
27,Central,DMDK,0,1,1
2,Central,INC,1,0,-1
30,Chennai Metro,TVK,0,29,29
5,Chennai Metro,DMK,29,2,-27
29,Chennai Metro,AIADMK,0,1,1
6,Chennai Metro,INC,3,0,-3
10,Delta,DMK,23,14,-9
33,Delta,TVK,0,10,10
7,Delta,AIADMK,4,4,0
8,Delta,CPI,1,1,0
9,Delta,CPI(M),2,1,-1
11,Delta,INC,2,1,-1
31,Delta,AMMK,0,1,1
32,Delta,IUML,0,1,1
12,Delta,VCK,1,0,-1
34,Kongu,TVK,0,16,16
15,Kongu,DMK,10,9,-1
13,Kongu,AIADMK,19,7,-12
14,Kongu,BJP,2,1,-1
16,Kongu,INC,2,0,-2
17,North,AIADMK,12,15,3
36,North,TVK,0,15,15
19,North,DMK,19,4,-15
18,North,CPI,1,1,0
21,North,PMK,2,1,-1
35,North,IUML,0,1,1
20,North,INC,1,0,-1
22,North,VCK,2,0,-2
38,South,TVK,0,26,26
25,South,DMK,31,22,-9
23,South,AIADMK,16,5,-11
26,South,INC,9,4,-5
37,South,CPI(M),0,1,1
24,South,BJP,2,0,-2
