,constituency,region,reserved,winner_party,winner_share,margin_pct,total_votes
0,Tiruppattur,South,GEN,TVK,38.65,0.0,215710
1,Veppanahalli,North,GEN,DMK,33.55,0.06,222608
2,Kanniyakumari,South,GEN,AIADMK,31.38,0.09,239150
3,Polur,North,GEN,TVK,32.1,0.11,211743
4,Tirukkoyilur,Central,GEN,AIADMK,33.61,0.13,217318
5,Paramathi-Velur,Central,GEN,AIADMK,32.49,0.16,188845
6,Kulithalai,Kongu,GEN,DMK,32.59,0.28,209091
7,Kallakurichi,Central,SC,TVK,32.5,0.32,249626
8,Palani,South,GEN,AIADMK,32.11,0.33,208619
9,Kumbakonam,Delta,GEN,TVK,37.76,0.33,208288
10,Cumbum,South,GEN,TVK,40.55,0.36,210574
11,Tindivanam,Central,SC,VCK,32.56,0.37,196026
12,Vikravandi,Central,GEN,PMK,33.33,0.43,209231
13,Kovilpatti,South,GEN,DMK,31.74,0.43,194232
