,ac_number,winner_party,winner_votes,year,total_votes,runner_votes,num_candidates,winner_share,margin_votes,margin_pct,constituency,district,region,reserved,turnout
0,1,TVK,94320,2026,232522,66375,16,40.56,27945,12.02,Gummidipundi,Tiruvallur,Chennai Metro,GEN,
1,2,TVK,110439,2026,226819,54671,14,48.69,55768,24.59,Ponneri,Tiruvallur,Chennai Metro,SC,
2,3,AIADMK,89169,2026,238798,83376,14,37.34,5793,2.43,Tiruttani,Tiruvallur,Chennai Metro,GEN,
3,4,TVK,92190,2026,226428,67430,15,40.71,24760,10.94,Thiruvallur,Tiruvallur,Chennai Metro,GEN,
4,5,TVK,161309,2026,308894,88569,12,52.22,72740,23.55,Poonamallee,Tiruvallur,Chennai Metro,SC,
5,6,TVK,180384,2026,346005,104073,21,52.13,76311,22.05,Avadi,Tiruvallur,Chennai Metro,GEN,
6,7,TVK,141725,2026,293692,80216,22,48.26,61509,20.94,Maduravoyal,Tiruvallur,Chennai Metro,GEN,
7,8,TVK,133339,2026,259986,74558,24,51.29,58781,22.61,Ambattur,Tiruvallur,Chennai Metro,GEN,
8,9,TVK,190462,2026,361998,95477,16,52.61,94985,26.24,Madavaram,Tiruvallur,Chennai Metro,GEN,
9,10,TVK,110067,2026,207088,56503,16,53.15,53564,25.87,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,
10,11,TVK,97800,2026,181206,48132,39,53.97,49668,27.41,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN,
11,12,TVK,120365,2026,204384,66650,48,58.89,53715,26.28,Perambur,Chennai,Chennai Metro,GEN,
12,13,TVK,82997,2026,184051,74202,36,45.09,8795,4.78,Kolathur,Chennai,Chennai Metro,GEN,
13,14,TVK,66445,2026,141452,49143,29,46.97,17302,12.23,Villivakkam,Chennai,Chennai Metro,GEN,
14,15,TVK,69125,2026,143903,46792,24,48.04,22333,15.52,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC,
15,16,TVK,53901,2026,119738,43097,19,45.02,10804,9.02,Egmore,Chennai,Chennai Metro,SC,
16,17,TVK,59091,2026,127356,44842,29,46.4,14249,11.19,Royapuram,Chennai,Chennai Metro,GEN,
17,18,DMK,45254,2026,99622,33504,24,45.43,11750,11.79,Harbour,Chennai,Chennai Metro,GEN,
18,19,DMK,62992,2026,140741,55852,27,44.76,7140,5.07,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN,
19,20,TVK,58965,2026,131824,43824,19,44.73,15141,11.49,Thousand Lights,Chennai,Chennai Metro,GEN,
20,21,TVK,71375,2026,163339,50012,25,43.7,21363,13.08,Anna Nagar,Chennai,Chennai Metro,GEN,
21,22,TVK,76092,2026,172831,49006,25,44.03,27086,15.67,Virugampakkam,Chennai,Chennai Metro,GEN,
22,23,TVK,81205,2026,160401,52691,16,50.63,28514,17.78,Saidapet,Chennai,Chennai Metro,GEN,
23,24,TVK,51632,2026,133928,38605,27,38.55,13027,9.73,Theayagaraya Nagar,Chennai,Chennai Metro,GEN,
24,25,TVK,70070,2026,150594,41098,20,46.53,28972,19.24,Mylapore,Chennai,Chennai Metro,GEN,
25,26,TVK,80430,2026,184815,47125,28,43.52,33305,18.02,Velachery,Chennai,Chennai Metro,GEN,
26,27,TVK,220382,2026,447295,123602,28,49.27,96780,21.64,Shozhinganallur,Kanchipuram,Chennai Metro,GEN,
27,28,TVK,112205,2026,261570,82596,24,42.9,29609,11.32,Alandur,Kanchipuram,Chennai Metro,GEN,
28,29,TVK,147611,2026,331088,93365,14,44.58,54246,16.38,Sriperumbudur,Kanchipuram,Chennai Metro,SC,
29,30,TVK,133611,2026,283677,78918,24,47.1,54693,19.28,Pallavaram,Kanchipuram,Chennai Metro,GEN,
30,31,TVK,118967,2026,278809,83346,16,42.67,35621,12.78,Tambaram,Kanchipuram,Chennai Metro,GEN,
31,32,TVK,137136,2026,324010,101495,16,42.32,35641,11.0,Chengalpattu,Kanchipuram,Chennai Metro,GEN,
32,33,TVK,110095,2026,262409,70744,12,41.96,39351,15.0,Thiruporur,Kanchipuram,North,GEN,
33,34,AIADMK,63809,2026,187584,58141,14,34.02,5668,3.02,Cheyyur,Kanchipuram,North,SC,
34,35,AIADMK,69284,2026,198251,62090,10,34.95,7194,3.63,Maduranthakam,Kanchipuram,North,SC,
35,36,TVK,84917,2026,227765,70694,15,37.28,14223,6.24,Uthiramerur,Kanchipuram,North,GEN,
36,37,TVK,91350,2026,246317,75862,16,37.09,15488,6.29,Kancheepuram,Kanchipuram,North,GEN,
37,38,TVK,73776,2026,182340,50655,14,40.46,23121,12.68,Arakonam,Vellore,North,SC,
38,39,TVK,84506,2026,233684,78820,24,36.16,5686,2.43,Sholinghur,Vellore,North,GEN,
39,40,TVK,69868,2026,203497,63998,16,34.33,5870,2.88,Katpadi,Vellore,North,GEN,
40,41,TVK,91149,2026,221038,85362,16,41.24,5787,2.62,Ranipet,Vellore,North,GEN,
41,42,AIADMK,105608,2026,225786,62888,15,46.77,42720,18.92,Arcot,Vellore,North,GEN,
42,43,TVK,73032,2026,190527,66255,16,38.33,6777,3.56,Vellore,Vellore,North,GEN,
43,44,AIADMK,76302,2026,216318,69221,14,35.27,7081,3.27,Anaikattu,Vellore,North,GEN,
44,45,TVK,74305,2026,189892,54050,12,39.13,20255,10.67,Kilvaithinankuppam,Vellore,North,SC,
45,46,TVK,82858,2026,229076,72761,12,36.17,10097,4.41,Gudiyatham,Vellore,North,SC,
46,47,IUML,73181,2026,212534,70199,16,34.43,2982,1.4,Vaniayambadi,Vellore,North,GEN,
47,48,DMK,74102,2026,195584,66971,17,37.89,7131,3.65,Ambur,Vellore,North,GEN,
48,49,AIADMK,78633,2026,213042,62550,20,36.91,16083,7.55,Jolarpet,Vellore,North,GEN,
49,50,TVK,105098,2026,202925,56835,25,51.79,48263,23.78,Tiruppattur,Vellore,North,GEN,
50,51,TVK,70201,2026,205530,65003,14,34.16,5198,2.53,Uthangarai,Krishnagiri,North,SC,
51,52,AIADMK,71240,2026,213960,66999,16,33.3,4241,1.98,Bargur,Krishnagiri,North,GEN,
52,53,TVK,89374,2026,230181,70530,16,38.83,18844,8.19,Krishnagiri,Krishnagiri,North,GEN,
53,54,DMK,74691,2026,222608,74553,14,33.55,138,0.06,Veppanahalli,Krishnagiri,North,GEN,
54,55,AIADMK,109867,2026,277770,82064,14,39.55,27803,10.01,Hosur,Krishnagiri,North,GEN,
55,56,CPI,78283,2026,205878,73043,11,38.02,5240,2.55,Thalli,Krishnagiri,North,GEN,
56,57,AIADMK,102807,2026,225257,63765,15,45.64,39042,17.33,Palacode,Dharmapuri,North,GEN,
